title	artist	length
1991	米津玄師	293
1999	羊文学	294
『バッハの旋律を夜に聴いたせいです。』	サカナクション	141
1 2 3 〜恋がはじまる〜	いきものがかり	309
115万キロのフィルム	Official髭男dism	202
1999	羊文学	164
1999 (English ver.)	羊文学	304
2億4千万の瞳 -エキゾチック・ジャパン-	郷 ひろみ	240
366日	HY	204
3月9日	レミオロメン	280
4月の雨	aiko	264
A Whole New World	MENA MASSOUD & NAOMI SCOTT	87
Aitai	加藤ミリヤ	254
Alright! ハートキャッチプリキュア!	池田彩	224
Automatic	宇多田ヒカル	240
Believe	Folder5	242
Best Friend	西野 カナ	327
Blessing	Halyosy	70
BON VOYAGE!	BON-BON BLANCO	293
BOY	King Gnu	127
BRAND NEW WORLD	D-51	275
Butter-Fly	和田光司	256
Butterfly	近江彼方(鬼頭明里)	0
Can't Wait 'Til Christmas	宇多田ヒカル	165
Catch the Moment	LiSA	301
CHANGE THE WORLD	V6	303
CHASE!	優木せつ菜(楠木ともり)	85
CHE.R.RY	YUI	150
CITRUS	柚羽まくら	158
damn	藤井風	262
Darling	V6	248
DIAMONDS	プリンセス プリンセス	272
Dream Fighter	Perfume	313
Esperanza	西野カナ	318
ETERNAL WIND～ほほえみは光る風の中～	森口博子	209
EYE	Kanaria	48
Family Song	星野源	332
Fight Together	安室奈美恵	266
First Love	宇多田ヒカル	171
Flavor Of Life	宇多田ヒカル	139
GETCHA!	Giga & KIRA	237
Gimme×Gimme	八王子P × Giga	242
GLAMOROUS SKY	NANA starring MIKA NAKASHIMA	284
God knows...	涼宮ハルヒ(平野綾)	133
GOLDEN GIRL	いきものがかり	298
Good-bye days	YUI for 雨音薫	173
Good-bye, Thank you	Kis-My-Ft2	341
grace	藤井風	302
HANABI	いきものがかり	165
Happiness	嵐	267
Happy Halloween	Junky	260
Happy Smile Again	いきものがかり	281
Heart Don't Stay Away	柚羽まくら	221
HELLO ～Paradise Kiss～	YUI	168
Hurrah!!	にじさんじ	257
I Believe	EXILE	306
I LOVE YOU	尾崎豊	262
I LOVE...	Official髭男dism	162
I wonder	Da-iCE	176
inside you	milet	191
INTERNET OVERDOSE	Aiobahn feat. KOTOKO	222
KICK BACK	米津玄師	204
KING	Kanaria	63
KISS KISS BANG BANG	いきものがかり	0
KissHug	aiko	208
KUGI☆ZUKE	柚羽まくら	167
l'aster	柚羽まくら	241
LA・LA・LA LOVE SONG	久保田利伸 with ナオミキャンベル	277
Laugh away	YUI	268
Lemon	米津玄師	182
Let’s go! スマイルプリキュア!	池田彩	222
Love So Sweet	嵐	267
Love Story	安室奈美恵	302
Love, Day After Tomorrow	倉木麻衣	63
Luv Bias	Kis-My-Ft2	194
M	プリンセス プリンセス	226
Mela!	緑黄色社会	166
MELODY	優木せつ菜(楠木ともり)	0
milk	aiko	265
Monster	嵐	136
Mr.Music	れるりり	0
MY BOY	Buono!	268
My Generation	YUI	163
NEO SKY, NEO MAP!	虹ヶ咲学園スクールアイドル同好会	283
NOW ON AIR	赤い公園	247
Oblivious	Kalafina	134
One Love	嵐	179
orion	中島美嘉	235
orion	米津玄師	191
Oz.	yama	99
PEACH	大塚愛	247
Perfect Day	supercell	143
PLAY THE GAME	ロードオブメジャー	250
POP STAR	平井堅	296
Pop Virus	星野源	200
Prayer X	King Gnu	130
Pretender	Official髭男dism	241
Previpter	柚羽まくら	180
Prisoner Of Love	宇多田ヒカル	315
Rain	YUI	164
Re:paint	アプリコットロールパン	202
Ready Steady	ギガP	0
Ref:rain	Aimer	199
ring your bell	Kalafina	170
Rolling Star	YUI	164
RollinStar	YUI	0
RPG	SEKAI NO OWARI	259
sabotage	緑黄色社会	82
SAKURA	いきものがかり	191
secret base 〜君がくれたもの〜	ZONE	174
Secret of my heart	倉木麻衣	271
Share The World	東方神起	218
Shout Baby	緑黄色社会	153
Silent Night	----	223
Silly	家入レオ	174
Sing	Goose house	332
slash	yama	115
SNOW AGAIN	いきものがかり	396
Snow halation	μ's	190
Solitude Rain	桜坂しずく(前田佳織里)	0
Sparkle×Sparkle	柚羽まくら	158
Stay Alive	エミリア(高橋李依)	293
Subtitle	Official髭男dism	164
SUMMER SONG	YUI	152
SUN	星野源	251
SWEET MEMORIES	松田聖子	158
Time After Time ～花舞う街で～	倉木麻衣	256
TOKIMEKI Runners	虹ヶ咲学園スクールアイドル同好会	273
TRUE LOVE	藤井フミヤ	80
TT	TWICE	214
Twinkle Twinkle Little Star	----	151
U.S.A.	DA PUMP	239
U&I	放課後ティータイム	231
Under the Sea	キャストと木村昴	192
us	milet	172
WAになっておどろう	V6	150
We Don't Talk Anymore	Charlie Puth feat. Selena Gomez	232
Winter Bells	倉木麻衣	289
Wishing	レム(水瀬いのり)	352
YELL	いきものがかり	210
Yes-No	オフコース	306
YOU	YUI	117
Your Best Friend	倉木麻衣	369
アイデア	星野源	278
アイドル	YOASOBI	112
アイネクライネ	米津玄師	193
アイのシナリオ	CHiCO with HoneyWorks	178
アイロニ	すこっぷ	130
アカシア	BUMP OF CHICKEN	141
アゲハ蝶	ポルノグラフィティ	250
あしたのそら	いきものがかり	235
あたしの向こう	aiko	338
あなたに恋をしてみました	chay	135
アナタボシ	MilkyWay	0
あの夢をなぞって	YOASOBI	142
アポトーシス	Official髭男dism	142
アポロ	ポルノグラフィティ	217
アメヲマツ、	美波	187
ありがとう	いきものがかり	257
ありったけのLove Song	ナオト・インティライミ	0
ありとう	いきものがかり	0
あわてんぼうのサンタクロース	----	209
アンコール	YOASOBI	131
アンダー・ザ・シー	キャストと木村昴	205
アンパンマンたいそう	ドリーミング	256
アンパンマンのマーチ	ドリーミング	131
いーあるふぁんくらぶ	みきとP	123
いつかのメリークリスマス	B'z	351
いつだって僕らは	いきものがかり	273
いつも何度でも	木村弓	225
いのちの名前	木村弓	196
ヴァンパイア	DECO*27	145
ウィーアー!	きただにひろし	143
うっせぇわ	Ado	133
うまぴょい伝説	ウマ娘	161
うるわしきひと	いきものがかり	150
うれしい！たのしい！大好き！	DREAMS COME TRUE	176
エイリアンズ	キリンジ	370
エンヴィーベイビー	Kanaria	91
オー！リバル	ポルノグラフィティ	303
おジャ魔女カーニバル	MAHO堂	116
おちゃめ機能	ラマーズP	127
オトナブルー	新しい学校のリーダーズ	94
オトノナルホウヘ→	Goose house	152
オドループ	フレデリック	140
おどるポンポコリン	B.B.クイーンズ	193
おやすみ泣き声、さよなら歌姫	クリープハイプ	260
およげ！たいやきくん	子門真人	97
オレンジ	GReeeeN	142
お願いマッスル	紗倉ひびき(ファイルーズあい)＆街雄鳴造(石川界人)	140
ガーデン	藤井風	226
ガーネット	奥華子	161
かえるのがっしょう	----	115
カタオモイ	Aimer	127
カブトムシ	aiko	165
カラカラ	結束バンド	209
がらくた	米津玄師	263
カロン	ねごと	112
カワキヲアメク	美波	166
カントリー・ロード	本名陽子	269
キセキ	GRe4N BOYZ	289
キセキ	GReeeeN	272
ギターと孤独と蒼い惑星	結束バンド	132
キミがいる	いきものがかり	368
きゅうくらりん	いよわ	232
キューティーハニー	倖田來未	0
きよしこの夜	----	234
キラキラ	aiko	128
ギラギラ	Ado	172
きらきら星	----	138
きらり	藤井風	172
キラリ	いきものがかり	323
グッバイ宣言	Chinozo	52
くらべられっ子	ツユ	139
クリスマスソング	Back number	301
ケロッ!とマーチ	角田信朗＆いはたじゅり	188
コイスルオトメ	いきものがかり	281
コイワズライ	Aimer	173
ココロオドル	nobodyknows+	0
ココロのちず	BOYSTYLE	53
コットンキャンディえいえいおー!	降幡愛と黒澤ルビィ	94
サウダージ	ポルノグラフィティ	116
さくら(独唱)	森山直太朗	119
さくらんぼ	大塚愛	161
サクラ咲ケ	嵐	280
サブリナ	家入レオ	112
さよーならまたいつか！	米津玄師	215
さよならエレジー	菅田将暉	199
さよならの夏 ～コクリコ坂から～	手嶌葵	265
さよならの前に	AAA	107
さよならべいべ	藤井風	267
さらば碧き面影	ロードオブメジャー	237
サリシノハラ	みきとP	126
サンキュ.	DREAMS COME TRUE	224
さんぽ	井上あずみ	168
シアワセ	aiko	337
シーソーゲーム 〜勇敢な恋の歌〜	Mr.Children	72
シニカルナイトプラン	Ayase	131
シャルル	バルーン（須田景凪）	133
ジャンキーナイトタウンオーケストラ	すりぃ	229
シャングリラ	チャットモンチー	211
ジャンボリミッキー！	東京ディズニーリゾート	216
シュガーソングとビターステップ	UNISON SQUARE GARDEN	165
じょいふる	いきものがかり	142
シル・ヴ・プレジデント	P丸様。	99
シルエット	KANA-BOON	110
スカーレット	スピッツ	209
スターライトパレード	SEKAI NO OWARI	289
スタジオジブリヒットソングメドレー	----	851
ストロー	aiko	251
スパイス	Perfume	248
スパイス・マジック	いきものがかり	249
スパイダー	スピッツ	143
スペクトラム	柚羽まくら	191
スペクトラム(punk ver.)	柚羽まくら	243
そばかす	JUDY AND MARY	139
ソラニン	ASIAN KUNG-FU GENERATION	181
ダイアモンド	プリンセス プリンセス	73
タイムパラドックス	Vaundy	234
だから僕は音楽を辞めた	ヨルシカ	160
たしかなこと	小田和正	113
ただ君に晴れ	ヨルシカ	152
ダンスホール	Mrs. GREEN APPLE	108
ダンスロボットダンス	ナユタン星人	127
チェリー	スピッツ	141
チューリングラブ	ナナヲアカリ	148
チョコレイト・ディスコ	Perfume	230
ツナガルコネクト	天王寺璃奈(田中ちえ美)	0
てのひらの音	いきものがかり	297
デモーニッシュ	ツユ	55
テルーの唄	手嶌葵	298
テレキャスタービーボーイ	すりぃ	90
トウキョウ・シャンディ・ランデヴ	MAISONdes	201
となりのトトロ	井上あずみ	261
ドラえもんのうた	大杉久美子	190
ドレミファロンド	40mP	108
ないものねだり	KANA-BOON	242
なくもんか	いきものがかり	295
ナチュラルに恋して	Perfume	68
ナツラブ	Juliet	257
なにが悪い	結束バンド	157
ニホンノミカタ−ネバダカラキマシタ−	矢島美容室	220
にんげんっていいな	ガガガDX	111
にんげんっていいな	中嶋義実・ヤングフレッシュ	109
にんじゃりばんばん	きゃりーぱみゅぱみゅ	119
ぬくもり	いきものがかり	305
ねぇ	Perfume	272
ねむるまち	くじら	109
ノーダウト	Official髭男dism	95
ノスタルジア	いきものがかり	333
ノンフィクション	平井堅	184
ハート	あいみょん	49
パート・オブ・ユア・ワールド	豊原江理佳	207
ハートの主張	CHiCO with HoneyWorks	76
ハッピー・バースデイ・トゥ・ユー	----	54
ハナミズキ	一青窈	271
ハネウマライダー	ポルノグラフィティ	263
ハピチョコ	FRUITS ZIPPER	237
パプリカ	Foorin	143
ハム太郎とっとこうた	ハムちゃんず	50
バラライカ	月島きらりstarring久住小春(モーニング娘。)	137
ハルウタ	いきものがかり	195
ハルノヒ	あいみょん	172
ハレ晴レユカイ	涼宮ハルヒ(平野綾)・長門有希(茅原実里)・朝比奈みくる(後藤邑子)	98
ピースサイン	米津玄師	122
ヒカリヘ	miwa	211
ヒカリへ	ザ・ベイビースターズ	241
ひこうき雲	松任谷由実	170
ビターチョコデコレーション	syudou	0
ビビデバ	星街すいせい	178
ひまわりの約束	秦基博	223
ヒャダインのカカカタ☆カタオモイ-C	ヒャダイン	237
ヒャダインのじょーじょーゆーじょー	前山田健一	240
ふ・れ・ん・ど・し・た・い	学園生活部	0
ファンサ	mona(夏川椎菜)	115
フィクション	sumika	0
フォニイ	ツミキ	126
フライディ・チャイナタウン	泰葉	145
プライド革命	CHiCO with HoneyWorks	168
フライングゲット	AKB48	0
プラネタリウム	いきものがかり	159
プラネタリウム	大塚愛	215
ブリキノダンス	日向電工	59
ブルーアンビエンス	Mrs. GREEN APPLE feat. asmi	260
ブルーバード	いきものがかり	154
プロミスザスター	BiSH	110
ふわふわ時間	放課後ティータイム	191
ベテルギウス	優里	126
ベノム	かいりきベア	84
ヘビーローテーション	AKB48	198
ペルソナル	柚羽まくら	205
ボーイフレンド	aiko	253
ボクノート	スキマスイッチ	242
ぼくはくま	宇多田ヒカル	85
ホタルノヒカリ	いきものがかり	174
ホントのじぶん	Buono!	261
マーシャル・マキシマイザー	柊マグネタイト	77
マカロニ	Perfume	293
まつり	藤井風	236
マリーゴールド	あいみょん	181
ミックスナッツ	Official髭男dism	117
ミュージック・アワー	ポルノグラフィティ	180
ムーンライト伝説	DALI	119
めざせポケモンマスター	松本梨香	232
めっちゃGoing!!	宮下愛(村上奈津実)	292
メフィスト	女王蜂	228
メリクリ	BoA	353
メリッサ	ポルノグラフィティ	280
メルト	supercell	167
もっと	aiko	171
もののけ姫	米良美一	213
やさしいキスをして	DREAMS COME TRUE	213
やさしさで溢れるように	JUJU	216
やさしさに包まれたなら	荒井由実	228
やっぱり雨は降るんだね	ツユ	183
ライオン	May'n/中島愛	315
らいおんハート	SMAP	208
ライラック	Mrs. GREEN APPLE	297
ライラック	美波	217
ラムのラブソング	松谷祐子	141
リバースユニバース	ナユタン星人	65
リリック	TOKIO	309
リンジュー・ラヴ	マカロニえんぴつ	174
ルージュの伝言	荒井由実	182
ルマ	かいりきベア	65
レイニー ブルー	德永英明	189
レーザービーム	Perfume	215
レット・イット・ゴー～ありのままで～	松たか子	232
レプリカ	柚羽まくら	258
ロキ	みきとP	93
ロコローション	ORANGE RANGE	199
ロックな君とはお別れだ	ツユ	73
ロッタラ ロッタラ	Buono!	269
ロビンソン	スピッツ	145
ロマンスの神様	広瀬香美	221
ロミオとシンデレラ	Doriko	116
わたしの一番かわいいところ	FRUITS ZIPPER	184
んっあっあっ。	SLAVE.V-V-R	214
愛のかたまり	KinKi Kids	294
愛のしるし	PUFFY	197
愛のしるし	スピッツ	159
愛をこめて花束を	Superfly	172
愛を伝えたいだとか	あいみょん	162
愛唄	GRe4N BOYZ	244
愛唄	GReeeeN	73
逢いたくていま	MISIA	179
茜色の約束	いきものがかり	191
悪魔の子	ヒグチアイ	235
雨とカプチーノ	ヨルシカ	183
雨のち虹色	ザ･ルーズドッグス feat.大黒摩季	261
栄光の架橋	ゆず	221
炎	LiSA	169
横顔	aiko	206
乙女解剖	DECO*27	76
何なんw	藤井風	275
何度でも	DREAMS COME TRUE	227
夏空グラフィティ	いきものがかり	201
夏祭り	Whiteberry	117
夏色	ゆず	125
花	ORANGE RANGE	142
花	藤井風	222
花になって	緑黄色社会	211
花に亡霊	ヨルシカ	161
花は桜 君は美し	いきものがかり	198
花火	aiko	209
花占い	Vaundy	227
廻廻奇譚	Eve	129
怪獣	サカナクション	269
怪獣の花唄	Vaundy	152
怪物	YOASOBI	126
海の幽霊	米津玄師	254
灰色と青	米津玄師と菅田将暉	341
崖の上のポニョ	大橋のぞみと藤岡藤巻	163
学園天国	フィンガー5	90
感電	米津玄師	285
丸ノ内サディスティック	椎名林檎	150
喜劇	星野源	132
寄り酔い	和ぬか	284
帰りたくなったよ	いきものがかり	349
帰ろう	藤井風	203
気まぐれロマンティック	いきものがかり	178
気分上々↑↑	mihimaru GT	0
貴方解剖純愛歌〜死ね〜	あいみょん	145
逆夢	King Gnu	165
金木犀	くじら	88
空の青さを知る人よ	あいみょん	204
空も飛べるはず	スピッツ	203
空色デイズ	中川翔子	211
君がくれた夏	家入レオ	163
君が思い出になる前に	スピッツ	285
君って	西野 カナ	271
君と歩いた季節	いきものがかり	198
君の知らない物語	Supercell	185
君はロックを聴かない	あいみょん	211
君をのせて	井上あずみ	199
群青	YOASOBI	150
群青日和	東京事変	219
月とあたしと冷蔵庫	いきものがかり	185
月のワルツ	諫山実生	189
月光	鬼束ちひろ	309
月光花	Janne Da Arc	305
言って。	ヨルシカ	255
光	宇多田ヒカル	199
光のシグナル	Kis-My-Ft2	265
光の跡	星野源	252
光の中へ	結束バンド	258
光るなら	Goose house	164
紅蓮華	LiSA	145
黒毛和牛上塩タン焼680円	大塚愛	144
今のキミを忘れない	ナオト・インティライミ	0
今走り出せば	いきものがかり	294
今夜このまま	あいみょん	143
魂のルフラン	高橋洋子	327
再会	LiSA×Uru	201
咲かせや咲かせ	EGOIST	113
桜	河口恭吾	271
桜色舞うころ	中島美嘉	214
三日月	絢香	172
残響散歌	Aimer	197
残酷な天使のテーゼ	高橋洋子	162
思想犯	ヨルシカ	146
死ぬのがいいわ	藤井風	65
私は最強	ウタ	102
私以外私じゃないの	ゲスの極み乙女	236
糸	中島みゆき	118
時の流れに身をまかせ	テレサ・テン	262
時をかける少女	原田知世	224
若者のすべて	フジファブリック	189
弱虫モンブラン	DECO*27	138
手紙 ~拝啓 十五の君へ~	アンジェラ・アキ	238
宿命	Official髭男dism	244
祝福	YOASOBI	143
春の歌	スピッツ	154
春を告げる	yama	128
春泥棒	ヨルシカ	206
春雷	米津玄師	296
純恋歌	湘南乃風	260
初恋サイダー	Buono!	170
渚	スピッツ	271
女々しくて	ゴールデンボンバー	139
小さいお姫様	柚羽まくら	174
少女レイ	みきとP	173
笑ってたいんだ	いきものがかり	381
笑顔	いきものがかり	235
上を向いて歩こう	坂本 九	90
色彩	yama	104
食虫植物	理芽	163
心の花を咲かせよう	いきものがかり	147
心絵	ロードオブメジャー	148
心拍数#0822	蝶々P feat. 初音ミク	316
新時代	ウタ	123
新宝島	サカナクション	162
森のくまさん	童謡	40
森の小さなレストラン	手嶌葵	173
真夜中のドア〜stay with me	松原 みき	266
神っぽいな	ピノキオピー	97
神のまにまに	れるりり	128
水流のロック	日食なつこ	196
世界でいちばん熱い夏	プリンセス プリンセス	221
世界に一つだけの花	SMAP	251
世界のつづき	Ado	183
世界は恋に落ちている	CHiCO with HoneyWorks	259
星間飛行	ランカ・リー(中島愛)	132
星座になれたら	結束バンド	178
晴る	ヨルシカ	289
生きていたんだよな	あいみょん	113
生まれてはじめて	神田沙也加・松たか子	197
青いベンチ	サスケ	145
青と夏	Mrs. GREEN APPLE	281
青空のラプソディ	fhána	149
青春アミーゴ	修二と彰	291
青春コンプレックス	結束バンド	108
青春ライン	いきものがかり	250
青春病	藤井風	240
赤いかさ	いきものがかり	305
赤いスイートピー	松田聖子	145
赤ちゃん銀河	柚羽まくら	162
雪だるまつくろう	神田沙也加・稲葉菜月・諸星すみれ	222
雪の音	GReeeeN	305
雪の華	中島美嘉	226
千本桜	黒うさP	161
全力少年	スキマスイッチ	213
創聖のアクエリオン	AKINO	159
奏	スキマスイッチ	209
相思相愛	aiko	277
卒業写真	荒井由実	252
太陽と月のこどもたち	V6	245
打上花火	DAOKO	251
大きな古時計	平井堅	181
大阪LOVER	DREAMS COME TRUE	269
宙船(そらふね)	TOKIO	0
津軽海峡・冬景色	石川 さゆり	0
天使にふれたよ!	放課後ティータイム	203
転がる岩、君に朝が降る	結束バンド	291
点描の唄	Mrs. GREEN APPLE	202
渡月橋 ～君 想ふ～	倉木麻衣	257
冬のはじまり	柚羽まくら	168
燈	崎山蒼志	0
透明人間	東京事変	263
瞳をとじて	平井堅	253
道	宇多田ヒカル	132
二人	aiko	166
二人セゾン	櫻坂46	184
虹	Aqua Timez	128
虹	菅田将暉	0
猫	DISH//	193
熱情のスペクトラム	いきものがかり	172
能動的三分間	東京事変	155
脳裏上のクラッカー	ずっと真夜中でいいのに。	173
拝啓、少年よ	Hump Back	211
白い恋人達	桑田佳祐	205
白日	King Gnu	194
八月、某、月明かり	ヨルシカ	284
晩餐歌	tuki.	236
飛行艇	King Gnu	139
美しい鰭	スピッツ	110
秒針を噛む	ずっと真夜中でいいのに。	132
不可幸力	Vaundy	209
不自然なガール	Perfume	246
楓	スピッツ	284
風が吹いている	いきものがかり	497
風と未来	いきものがかり	158
風になる	つじあやの	268
風の谷のナウシカ	安田成美	244
風吹けば恋	チャットモンチー	136
粉雪	レミオロメン	206
変わらないもの	奥華子	300
歩いていこう	いきものがかり	386
僕がのうと思ったのは	中島美嘉	125
僕が死のうと思ったのは	中島美嘉	251
魔法のコトバ	スピッツ	258
満ちてゆく	藤井風	323
未来のミュージアム	Perfume	221
未来予想図 II	DREAMS COME TRUE	100
眠れる森に行きたいな	近江彼方(鬼頭明里)	218
夢じゃない	スピッツ	274
夢の外へ	星野源	185
夢をかなえてドラえもん	mao	119
無敵級*ビリーバー	中須かすみ(相良茉優)	127
名前は片思い	indigo la End	224
明日の歌	aiko	210
妄想感傷代償連盟	DECO*27	128
妄想税	DECO*27	0
木綿のハンカチーフ	太田裕美	145
夜に駆ける	YOASOBI	191
夜空ノムコウ	SMAP	202
夜桜	くじら	94
優しい彗星	YOASOBI	132
優しさ	藤井風	184
勇気100%	光GENJI	167
幽霊東京	Ayase	71
憂、燦々	クリープハイプ	260
憂、燦々	ヨルシカ	265
踊	Ado	68
踊り子	Vaundy	237
翼をください	赤い鳥	212
裸の心	あいみょん	185
流星ミラクル	いきものがかり	286
旅立ちの日に	さくら学院	0
旅路	藤井風	243
涙がキラリ☆	スピッツ	243
涙そうそう	夏川りみ	264
冷たい頬	スピッツ	246
恋	星野源	177